flight_no,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_airport,arrival_airport,aircraft_code,fare_conditions,amount,direction
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Business,36600.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Business,36600.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
PG0252,2017-02-06T10:05:00Z,2017-02-06T11:45:00Z,2017-02-06T10:11:00Z,2017-02-06T11:52:00Z,AAQ,SVO,733,Economy,12200.00,leave
