iter	Passed	Remaining
0	68	3348
1	77	1861
2	97	1534
3	107	1237
4	116	1048
5	137	1010
6	146	899
7	166	873
8	175	800
9	195	783
10	204	724
11	224	712
12	234	666
13	254	655
14	263	614
15	283	601
16	291	566
17	311	553
18	320	522
19	340	510
20	349	482
21	370	471
22	379	445
23	398	432
24	416	416
25	428	395
26	436	371
27	455	357
28	465	337
29	485	323
30	494	303
31	514	289
32	524	270
33	543	255
34	552	236
35	572	222
36	581	204
37	599	189
38	608	171
39	628	157
40	637	139
41	657	125
42	665	108
43	685	93
44	695	77
45	714	62
46	723	46
47	742	30
48	752	15
49	771	0
